"First Name","Last Name","National Geographic Titles","Residential Country","Professions","Specialities","Photography Skills","Brand Preferences","Brand Affiliation","Mini Bio","Hobbies","Charity Interests","Instagram","Website","Photography Genres"
"David","Guttenfelder","Explorer & Photographer","United States","Photographer","","Drone; On Camera Appearances; Video; Video: 360","* Electric Cars- I've recently completed 2 Nat Geo Magazine cover stories on Electric Cars and the Future of Energy. To complete them, I've made cross-country road trips in electric cars to understand the future of mobility and to see what is possible now. (Ford F150 Lighting, Rivian, Harley Davidson Live Wire, others). 

* Smart Phones- I'm unique among Nat Geo photographers: More than half of my published pictures in the printed magazine over the past 5 years were shot on with my mobile phone. (iPhone, Samsung, Google) 

* Delta Airlines- A million mile member with some ideas for partnership. 

* Music - I'm a photographer of live music and the lives of musicians. I?ve collaborated with international & local artists, partnered with labels, covered music for NPR Tiny Desk, Rolling Stone, The New York Times Magazine & many others, and photographed most major U.S. music festivals. I started my path as a teenager, working as a venue?s house photographer. From 2015-19, I was the contract photo editor for @instagram (432m followers) and managed Facebook/Instagram?s @music channel where we discovered and featured music related content. I?ve helped artists, labels, events, and venues with social media strategy.","No","David Guttenfelder is a Nat Geo Photography Fellow and Nat Geo Society Explorer. He has has photographed 25 stories for Nat Geo Magazine over the past 10 years. He is a presenter for NGLive!, leads National Geographic Expeditions, and appears on camera & at in person for Nat Geo Channel projects and events. 

Previously working for the Associated Press, he was based in Japan, India, Israel, Ivory Coast and Kenya covering world events in nearly 100 countries. In 2011, he helped open a bureau in Pyongyang for the AP, the first western news agency to have an office in North Korea. Guttenfelder has made more than 40 trips to the isolated country.

Guttenfelder is a seven-time finalist for the Pulitzer Prize and an eight-time World Press Photo winner. He was awarded the ICP Infinity Prize for Photojournalism. The Overseas Press Club of America has recognized him with the John Faber, Olivier Rebbot, & Feature Photography awards. Pictures of the Year International and the NPPA have named him Photojournalist of the Year. A photograph of his made in North Korea was named among TIME Magazine's ""100 Most Influential Photographs Ever Taken. 

His commercial partnerships include Google, Apple, Paramount Pictures, SONY, Mazda, Rimowa, Facebook/Instagram, Hyatt, Airbnb, Huawei, State Farm, Jura Whiskey, and others. In 2017, he was featured in the Squarespace commercial aired during the 89th Academy Awards Ceremony. His photography and film project, Mission 22, was honored with a Cannes Lion for Public Service at the Cannes Lion Festival of Creativity. 

He has been industry leader in smartphone photography and social media. He was named inaugural Instagram Photographer of the Year by TIME magazine, and has been recognized by the Webby Awards, the Shorty Award for online photography, and the Online Journalism Award. His mobile phone photography has been exhibited at Visa pour l'Image in Perpignan, France, the Museum of Contemporary Photography in Chicago, and at the Cortona Photo Festival in Tuscany. He was part of the panel lecture, ""Instagraming the News,"" at the SXSW digital conference. He taught the first National Geographic Explorer's Smartphone Photography workshop in San Francisco in 2015. His personal Instagram account, @dguttenfelder, reaches more than 1.2 million followers.","1. Live Music 
2. Kayaking / Kayak & canoe expeditions
3. Roadtripping 
4. French bulldog owner (@lewislloyd_bulldog)","No official affiliations","https://www.instagram.com/dguttenfelder/","http://www.davidguttenfelder.com/","Adventure; Aerial; Conceptual; Culture; Documentary; Environment; Landscape; Portraiture; Science + Technology; Travel; Wildlife"
"Charlie","Hamilton James","Explorer & Photographer","United Kingdom","Journalist; Photographer; Writer","Animal behaviour, kingfishers, otters, vultures, indigenous cultures in Latin America and East Africa, camera technology, Conservation.","Camera Trapping; Diving; Drone; Infrared; Location Lighting; Macro; Video; Video: 360","Taylor Stitch, Sony, American Express, Sandisk, Belstaff, BMW, Tesla - or any battery powered cars.","No","Charlie Hamilton James is a photojournalist who specializes in wildlife and conservation. His work requires specialized equipment, much of which he makes. Hamilton James has a particular interest in exposing ?the brilliance of nature? in order to better document, understand, and save it. He has been obsessed with kingfishers?brightly plumed ambush hunters?since he was six, and with otters since he was ten. Before becoming a photographer for National Geographic he had a long career in television working as a cameraman, series and executive producer and presenter for the BBC?s prestigious Natural History Unit.","I write a newsletter on my thoughts on photography and other issues. I am also currently writing an autobiography for Harper Collins. But I guess that?s work. I like fishing and arguing with my girlfriend who I love but who drives me crazy.","I sometimes give money through print sales to Rainforest Flow","https://www.instagram.com/chamiltonjames/?hl=en","http://www.charliehamiltonjames.co.uk/bio/biography.html","Aerial; Culture; Documentary; Environment; Landscape; Travel; Underwater; Wildlife"
"Robin","Hammond","Explorer & Photographer","United Kingdom","Photographer","","Alternative Processing (Tin Type or Cyanotype or etc); Drone; Studio Lighting; Video","","no","Robin Hammond has dedicated his career to amplifying narratives of marginalised groups through long term visual storytelling projects. 

Career recognition includes the winning of two World Press Photo prizes, the RF Kennedy Journalism Award, six Pictures of the Year International Awards, the W.Eugene Smith Award for Humanistic Photography, the recipient of six Amnesty International awards for Human Rights journalism and being named by Foreign Policy as one of the ?100 Leading Global Thinkers.? 

He is the founder of Witness Change, a non-profit organization dedicated to advancing human rights through visual storytelling.","gym, yoga, run, child care","I founded Witness Change - a NGO designed to amplify the voices of marginalised groups. Affiliated with multiple NGOs expecially in humanitarian and human rights field","https://www.instagram.com/hammond_robin/","","Documentary; Environment; Landscape; Portraiture; Science + Technology; Still Life; Travel"
"Lucy","Hawkes","Explorer","United Kingdom","Biologist; Conservationist; Diver; Ecologist; Marine Biologist; Researcher","I am a world expert in ""Biologging"" - the use of electronic tracking tags to follow the movements of a range of wild animals, from birds to fish and turtles.","","I am broadly interested in using my platform to increase environmental awareness, stewardship and education, and in brands that use environmentally forward facing technologies (e.g. recycled components and materials in clothes or equipment).","No","""It has always amazed me that migrating animals make these huge, long distance journeys across the planet,"" says Hawkes. ""I wonder how they know where to go, whether they have been there before, how they get fit enough to do it and why they don't just stop somewhere closer.? Hawkes uses the latest state-of-the-art miniaturized electronic tracking units, which she carefully attaches to her study species to track their movements.

Hawkes obtained her PhD from the University of Exeter in 2007, in which she was the first person to track sea turtles from populations in North Carolina, USA, and the Cape Verde Islands. She has written over 60 scientific articles to date, which have been cited over 2300 times. The topic of migration fascinates her and she now works on a range of 'animal athletes', as she calls them. Her research centrers on amazing migrations by some of the greatest animal athletes on the planet, including deep-diving basking sharks and high-flying bar-headed geese, which were once thought to migrate over the summit of Mount Everest. Hawkes loves seeing the world both during fieldwork and through these animals? eyes.","I am a regular runner, paddleboarder and scuba diver.
I also love crafting, and spend as much down time as I can knitting and sewing unique clothes and gifts.","No","","https://www.biosciences.exeter.ac.uk/staff/index.php?web_id=Lucy_Hawkes",""
"Jennifer","Hayes","Photographer","","Photographer","","","","","Underwater photographers David Doubilet and Jennifer Hayes are married partners who work together as a team to produce National Geographic stories from equatorial coral reefs to beneath the polar ice.  David estimates he has spent nearly half his life in the sea since taking his first underwater photograph at the age of 12 with a Brownie Hawkeye camera sealed in a bag.  Between them, Jennifer and David have photographed and explored the ocean depths in such places as New Zealand, Canada, Japan, Indonesia, Tasmania, French Polynesia, Scotland, Greenland, and Antarctica.","","","https://www.instagram.com/jenniferhayesig/","https://underseaimagesinc.com/",""
"Chris","Hemsworth","","","Actor","","","","","Chris Hemsworth was born in Melbourne, Australia, to Leonie (van Os), a teacher of English, and Craig Hemsworth, a social-services counselor. His brothers are actors Liam Hemsworth and Luke Hemsworth. He is of Dutch, Irish, English, Scottish, and German ancestry.","","","https://www.instagram.com/chrishemsworth/","",""
"Vernard","Hodges","","United States","Actor; Veterinarian; Writer","","","dog/cat food; Kong; pet treats; Nylabone; Kaytee; Diamond treats; Fromm; Pawz; Virbac; Zymox","no","Dr. Vernard Hodges is a proud graduate of Fort Valley State University and the Tuskegee University College of Veterinary Medicine. Dr. Hodges is founder of multiple successful veterinary hospitals, but he practices primarily at Critter Fixer Veterinary Hospital in Bonaire, GA. Dr. Hodges and Critter Fixer were so successful, they caught the attention of the National Geographic Channel. He stars in a television show, called ?Critter Fixers: Country Vets,? on National Geographic Wild and Disney+, which is currently in production of its second season.

Dr. Hodges started a real estate company, which has grown to a multi-million-dollar business comprised of several apartment complexes and commercial properties. He started writing a blog that ultimately led to his writing a bestselling book: ?Bet on Yourself: From Zero to Millions.? 

In addition to his businesses, he started the Dr. Hodges ?It Takes A Village? Charity Foundation in 2011. Dr. Hodges has won numerous awards for his business acumen and his community service. He is a member of Omega Psi Phi Fraternity, Inc. and enjoys spending time with his three dogs and watching sports with his 16-year-old son, VJ.","sporting events, boating, fishing, ranching","education, animal/children welfare, diversity; the Dr. Vernard Hodges It Takes a Village Foundation, Inc.","https://www.instagram.com/drhodges_critterfixervet/","https://iamdrvernardhodges.com/",""
"Alex","Honnold","","","Climber","","","","","Alex Honnold is a professional adventure rock climber whose audacious free-solo ascents of America?s biggest cliffs have made him one of the most recognized and followed climbers in the world. A gifted but hard-working athlete, Alex ?No Big Deal? Honnold is known as much for his humble, self-effacing attitude as he is for the dizzyingly tall cliffs he has climbed without a rope to protect him if he falls. Honnold has been profiled by 60 Minutes and the New York Times, featured on the cover of National Geographic, appeared in international television commercials and starred in numerous adventure films including the Emmy-nominated ?Alone on the Wall.?

Honnold is sponsored by The North Face, Black Diamond, La Sportiva, Ando and Stride Health and is a board member of El Cap Climbing Gyms. He is the founder of the Honnold Foundation, an environmental non-profit. And to this day, he maintains his simple ?dirtbag-climber? existence, living out of his van and traveling the world in search of the next great vertical adventure.","Adventure/Outdoor","","Https://www.instagram.com/alexhonnold/","",""
"Derek","Hough","","","Actor","","","","","","","","","",""
"Ron","Howard","","","","","","","","Academy Award, Golden Globe, Emmy and Grammy award-winning filmmaker Ron Howard is one of this generation?s most popular directors.  From the critically acclaimed dramas A Beautiful Mind, Apollo 13 and Frost/Nixon to the hit comedies Parenthood, Splash and Dr.  Seuss? The Grinch Who Stole Christmas, he has created some of Hollywood?s most memorable films.","","","Https://www.instagram.com/realronhoward/","Https://www.imagine-entertainment.com/",""
"Aaron","Huey","Photographer","United States","Activist; Adventurer; Artist; Journalist; Mountaineer; Photographer","Augmented Reality and VR specialization (photogrammetry) with Cultural Heritage, Extreme adventure rope work at altitude,","Alpine Climbing; Audio; Macro; On Camera Appearances; Photogrammetry; Rock Climbing; Video; Video: 360; Video: AR/VR","","","Aaron Huey is a National Geographic photographer and Explorer, Stanford d.School Fellow, and Founder + Chief Creative of Amplifier.org. 

As a photographer Huey has created over 30 stories for the National Geographic magazines including several cover stories.  Most recently a cover story on Public Lands.  Here is a video that Nat Geo calls  ?Aaron Huey?s Most Epic Photos.?

As a Stanford Knight Fellow and then as one of the first d.School Media Experiments Fellows, Huey focused on using the human centered design process in both the analog and digital world to evolve his storytelling.  That resulted in many projects beyond traditional photography, including the evolution of his art and advocacy non-profit Amplifier,  where he created the global art phenomenon called ""We The People"" with his collaborators Shepard Fairey and a small team now based in South Seattle.   

We the People broke crowdfunding records, and along with its followup We the Future, and Huey?s Sherpa Photo Fund project, he has raised over 2 million dollars between his last 3 crowdfunding projects. 

Huey?s Bear Ears Virtual Museum VR experience, built with partner Devlin Gandy, won the 2019 Webby for best VR Interactive Design and (thanks to a new Nat Geo Explorer Grant) parts of that project will become Pre-Colonial History and Cultural Heritage lessons in AR and VR for K-12 classrooms across the US. 

Huey recently art directed the RESET Capitalism campaign for Imperative 21 and a group of 72,000 businesses worth a collective 15 Trillion dollars in assets that is attempting to literally redesign Capitalism and also art directing a Covid emergency response campaign that brought in over 10,500 works from around the world.   He is is currently working on a set of new AR experiments, and the Campaign for Nature with National Geographic and the Wyss Foundation.

Perhaps most importantly Huey was named the 3rd coolest Dad in America by Fatherly.com after Lebron James and Kelly Slater!   Huey lives in Seattle with his wife Kristin, his son Hawkeye (age 10), and his daughter Juno (age 5).



CONTRIBUTOR: @natgeo; @natgeotravel; @natgeoadventure","","","https://www.instagram.com/argonautphoto/","https://www.aaronhuey.com/","Adventure; Archaeology; Culture; Documentary; Environment; Landscape; Portraiture; Travel; Wildlife"
"Sara","Hylton","Explorer & Photographer","Canada","Artist; Athlete; Influencer; Journalist; Photographer; Researcher; Writer","I completed my MA in International Conflict studies and have strong research and writing skills. I work as a consultant and mentor and teacher to other photographers and journalists. I use my Instagram to reach people about environmental and human rights issues and while influencer is a term I?m not necessarily comfortable with - I have 126,000 followers. My photographic process is also a little unique as I continue to work with medium format color film. I?m an athlete and former competitive speed swimmer.","Alternative Processing (Tin Type or Cyanotype or etc); Location Lighting; On Camera Appearances; Photogrammetry","Patagonia, Pendleton, Carhartt, Aesop, Oatly, Outdoor Voices, Yeti, outdoor/adventure brands, most environmental/sustainable brands, most vegan/plant based brands, Kodak.","Kodak Portra, Patagonia, Pendleton","Sara Hylton is an award-winning Canadian freelance photographer recognised for her compassionate and intimate approach to human rights issues.

Hylton is a graduate from the International Center of Photography and holds an MA from Kings College London (International Conflict Studies). Her work focuses on issues around gender, Indigenous people, and the environment with clients including National Geographic Magazine, the New York Times, the Los Angeles Times, Harper's Magazine, Vogue Magazine, the Wall Street Journal, Smithsonian Magazine, Bloomberg News, Vogue Magazine, and the Financial Times Magazine among others.

Hylton has received multiple grants from National Geographic Society, Magnum Foundation, the Pulitzer Center on Crisis Reporting, the Hillman Foundation, the International Women?s Media Foundation, and the International Reporting Project. In 2018, she was awarded a National Magazine Award for her work on missing and murdered Indigenous women in Canada. Hylton?s work has been recognized by the Magenta Foundation, American Photo, the Lucie Foundation, the Alfred Fried Photography Award, Julia Margaret Cameron Awards, PH Museum, and Santa Fe Portrait Awards, among others.

Represented by Redux Pictures, Hylton is currently based around South Asia but will travel anywhere her camera takes her.","All of my hobbies basically involve being near water, outdoors and in the wilderness. I?m an athlete - I run, was a competitive speed swimmer, and hiking is one of my all time favorite things in the world. I?m a trained yoga instructor and reiki practitioner, and I?m vegan - living what I preach is very important to me. Im also very passionate about sustainable products and find great joy in antique/vintage shopping and used to run my own vintage store. A few more things I love: coffee, red wine, waste-free/plastic free living, dance and movement as therapy, renewable energy, India (textiles, the mountains, the history, the culture and religious diversity etc), gender and Indigenous rights, solo road trips, and travel of all forms.","Danish Refugee Council, Humsafar Trust (India)","https://www.instagram.com/sarahyltonphoto","http://www.sarahylton.com","Adventure; Culture; Documentary; Environment; Landscape; Portraiture; Travel"
"Nizar","Ibrahim","Explorer","","Biologist; Geologist; Paleontologist","","","","","Nizar Ibrahim is a vertebrate paleontologist and comparative anatomist, with a background in the bio- and geosciences, a PhD in vertebrate paleontology from Ireland's leading medical school, and extensive research and teaching experience. He is based at the University of Detroit Mercy (USA), where I am an Assistant Professor of Biology and teach courses in anatomy and evolution. Nizar is also a research associate with the Carnegie Museum of Natural History (USA), and a visiting researcher with the University of Portsmouth (UK). His current research interests include vertebrate morphology and evolution, Mesozoic chronostratigraphy, and bioinformatics.

Over the last decade Nizar has led several paleontological expeditions to Africa's Sahara desert, in search of some of the most enigmatic fossil assemblages. This research has been featured in Nature, Science, National Geographic, The Wall Street Journal, Discover Magazine, and many other high-impact publications.? Nizar is passionate about the public understanding of science. Over the last decade, he has reached millions of people around the globe, using a multitude of formats, including high-profile speaking tours, exhibits, educational videos, and books. He is also a speaker with the renowned National Geographic speakers bureau, reaching large audiences across North America.","","","","https://www.nizaribrahim.net/",""
"Catherine","Jaffee","Explorer","United States","Adventurer; Educator; Humanitarian; Journalist; Mountaineer; Researcher; Writer","Audio storytelling specialist, ultra-endurance bikepacker, science journalist","","","no","Catherine (Cat) Jaffee is an award-winning audio producer and educator. Originally from Colorado, Cat has worked as a producer, researcher, Fulbright scholar, honey tour guide, and National Geographic Explorer in Turkey and the South Caucasus for the last decade. For Jaffee?s first National Geographic grant, she traced ancient beekeeping practices to enhance our understanding of more sustainable honey production techniques and better protect the endemic Caucasian honeybee. Building on her experiences combining biology and field research with community storytelling, Jaffee opened House of Pod, an award-winning production company that creates podcasts at the crossroads of science and social justice. She has led and produced 25+ new shows, and launched the nonprofit Amped, developing Colorado?s first podcast incubator for women of color. 

During the 2019-2021 grant period, Jaffee was awarded a National Geographic Storytelling Grant to join the Okavango Wilderness Project to train, support, and produce a podcast about the Okavango River Basin. The resulting audio series, Guardians of the River won best non-fiction podcast at Tribeca Film Festival, and best podcast of the year at the Jackson Wild Film Festival. The work topped Apple Charts 12 weeks running, and became the second most popular nature podcast of all time.","Cancer survivor, bikepacker, dog trainer, ultra racer, BIPOC advocate/educator, linguist, historian, media literacy buff, podcast junkie","I have started my own NGO, AMPED which teaches audio skills and channels opportunities to BIPOC communities","https://www.instagram.com/naturevert/","http://www.catherinejaffee.com",""
"Sofia","Jaramillo","Photographer","United States","Photographer","I specialize in outdoor adventure and travel .","Alpine Climbing; Skiing","I'm interested in working with camera brands like Canon, Fuji, or Leica, Ford / Ford Latino, any outdoor adventure and lifestyle brands like Nike, The North Face, Garmin, or Asunto, travel and tourism brands in the American West, any women specific brands like Athleta, and snow sports related brands.","I am not currently sponsored by any brands","Sofia Jaramillo is an outdoor adventure and documentary photographer based out of Jackson, Wyoming. As a Colombian American, her mission is to uplift and tell the stories of BIPOC athletes and friends. Including underrepresented models in her work is a priority for her. Jaramillo got her start in photography working for newspapers and is trained in telling stories through still photography and video. She believes in the power of storytelling and with this approach has photographed worldwide ad campaigns for various clients.","When I'm not taking photos, I enjoy fly fishing on the Snake or Teton River, throwing pottery at my local ceramics studio, listening to reggaeton music, or just getting outside in the Tetons.","I'm affiliated with Women Photograph, Diversify Photo, Coombs Outdoors, and Authority Collective. I'm particularly passionate about diversifying the outdoors and uplifting and telling the stories of BIPOC communities.","https://www.instagram.com/sofia_jaramillo5/","https://www.sofiajaramillophoto.com/","Adventure; Documentary; Environment; Landscape; Portraiture; Travel"
"Ciril","Jazbec","Explorer & Photographer","Slovenia","Adventurer; Artist; Economist; Photographer; Researcher","Documentary photography and film making","Alpine Climbing; Audio; Camera Trapping; Diving; Drone; Location Lighting; Macro; On Camera Appearances; Skiing; Studio Lighting; Time Exposure; Video; Video: 360; Video: AR/VR","Patagonia, Volvo, Mazda, Carhartt, Volkswagen (I own a new VW California van), Canada Goose, Tourism boards around the world etc...","None","Ciril Jazbec (born 1987) is a Slovenian documentary photographer and film director.
Jazbec produces his long-term projects to raise awareness about the deterioration of our planet and the increasing impact of climate
change. With his multimedia-based work, Jazbec appears to be a profound storyteller on various levels. He has seen the rising sea levels in Kiribati, erosion and melting of permafrost in Alaska and
has spent over seven months in Greenland documenting climate change effects on the Inuits.
He studied Management at the Faculty of Economics in Ljubljana before moving to London to study photography. He gained an MA in Photojournalism and Documentary Photography at the London College of Communication in 2011.
His awards include the World Press Photo in 2021, the Leica Oskar Barnack Newcomer Award in 2013, Photo Folio Review Les Rencontres d?Arles winner in 2013, Magnum 30 under 30 in 2015, PDN?30 New and emerging photographers to watch in 2016, Pictures of the Year International World Understanding Award in 2018.
Jazbec?s work has been featured in National Geographic Magazine, The New York Times, GEO, Der Spiegel, Stern, Neu Zürcher Zeitung, Marie Claire Italy, Leica Fotografie International, Bloomberg Businessweek, Wired UK, and The British Journal of Photography.
He has been working as a contributing photographer for National
Geographic Magazine since 2014.
Jazbec?s works have been exhibited and presented in various venues including the, Les Rencontres d'Arles, Visa pour l'Image, The Photoville, PhEST, Format Festival, The Annenberg Space for Photography, Newseum, East Wing Gallery, The Royal Geographical Society.","Ski touring, snowboarding, surfing, mountain biking, tennis, family activities (I have 2 small kids), gastronomy, travelling with a new van, vanlife, music festivals, sailing, meditation, reading...","The Nature Conservancy","https://www.instagram.com/ciriljazbec/","http://www.ciriljazbec.com/","Adventure; Aerial; Culture; Documentary; Environment; Landscape; Portraiture; Science + Technology; Travel"
"Justin","Jin","Photographer","Belgium","Journalist; Photographer; Writer","","Audio; Drone; Location Lighting; Macro; On Camera Appearances; Skiing; Studio Lighting; Video","- New energy such as hydrogen, wind, solar 
- Tech industrial companies including Apple and Tesla 
- Luxury and Fine wine 
- Adventure and apparel brands
- Tourism boards","I'm a non-exclusively sponsored by Sony's camera division.

Some Apple equipment sponsorship.","Born in Hong Kong in 1974, he studied philosophy and social science at Cambridge University. He started his career as a Reuters text correspondent in London and Beijing, and soon embarked on an independent career as a documentary photographer and writer.

Today, Justin is commissioned by the world?s leading media, brands and NGOs to craft visual narratives. He shoots large stories, often taking up the roles of photographer, video director, and narrative writer. Whether shooting editorially or for brands, he looks for real stories among real people and real places. 

Justin speaks fluent Mandarin, Cantonese Chinese and English, and reasonable French, Russian and Dutch, languages that allow him to bridge cultures and find stories.

International awards attest to Justin?s dedication as a photojournalist, including the Magnum Emergency Fund, Pictures of the Year International (POYi), World Press Photo Masterclass. His work has been exhibited internationally, including at the FOAM, Rijksmuseum Amsterdam, and photo-journalism?s premier venue, the Visa Pour L?Image festival in France.

Justin lives in Brussels with his wife and children, and goes wherever the stories take him.","Outback skiing
Nature exploration
Adventure 
Wild swimming
Wine tasting and vineyard visits","I do stories with WWF","https://www.instagram.com/justin.jin/","http://www.justinjin.com/","Adventure; Aerial; Archaeology; Culture; Documentary; Environment; Landscape; Portraiture; Science + Technology; Travel"
"Acacia","Johnson","Photographer","United States","Artist; Conservationist; Influencer; Journalist; Photographer; Writer","Photographic artist in addition to documentary work.","On Camera Appearances; Skiing","Especially interested in working with brands with an environmental, sustainability, climate-related, or adventure focus","None currently, aside from National Geographic","Acacia Johnson is a photographer, writer and artist from Alaska, focused on human relationships to the natural world. She has been exploring human stories in the Arctic and Antarctica since 2014, when a Fulbright grant to Canada enabled her to spend a winter documenting the Inuit?s evolving relationship with their environment on Baffin Island. Johnson?s work has been featured by numerous publications, including digital and print stories for National Geographic about the Inuit community on Baffin Island, snow algae and sea ice in polar environments, coastal brown bears of Alaska, and a Pacific walrus sanctuary in Alaska. Johnson has made over 55 expeditions to the polar regions?Greenland, Svalbard, the Canadian Arctic, and Antarctica?frequently lecturing on photography and visual representations of these unique regions. Her work is also housed in collections such as the Anchorage Museum and the Smithsonian Museum of American History. She was the 2021 recipient of the Canon Female Photojournalist Grant and the 2022 ICP Infinity Awards for her work in documentary practices and photojournalism.","Cross-country skiing, backcountry skiing, writing, hiking, backpacking, camping, sea kayaking, river kayaking, running, climbing, drawing, yoga, interior design.","Not yet, but potentially interested in doing so!","https://www.instagram.com/acacia.johnson/","https://www.acaciajohnson.com/","Adventure; Aerial; Culture; Documentary; Environment; Landscape; Portraiture; Travel; Wildlife"
"Michael","Jordan","","","Actor","","","","","Michael B. Jordan, the middle of three children, was born in Santa Ana, California and raised in Newark, New Jersey. He is the son of Donna (Davis), a high school counselor, and Michael A.","","","https://www.instagram.com/michaelbjordan/","",""
"Paula","Kahumbu","Explorer","","Ecologist","","","","","Based in Kenya, Paula Kahumbu is a multi-award-winning Kenyan wildlife conservationist, the CEO of WildlifeDirect, and leads the Hands Off Our Elephants campaign which aims to restore Kenyan leadership in elephant conservation. Her current NGS-funded work supports the Wildlife Warriors Kids network of clubs in primary schools in Kenya.","","","https://www.instagram.com/paula_kahumbu/","",""
"Aldo","Kane","","","Adventurer; Athlete","","","","","Growing up in Scotland, Aldo was destined to live an unconventional life of adventure mixed with danger. At the age of sixteen, he joined the Royal Marine Commandos, where he became one of the youngest Elite Commando Snipers ever. His time as a commando sniper took him around the globe several times. Aldo became an expert in Survival and Operations in all environments ? jungle, desert, arctic and mountains, but he has been laser focused on the Oceans since he came to understand their awesome power and potential . He has led countless water-based expeditions and first hand knows the challenges that come with an adventure on the high seas. Aldo also specializes in being a safety expert in extreme locations for TV and film productions. He is a pure alpha male, who has been leading expeditions with some of the world?s elite for over a decade. Aldo also holds a world record in rowing across the Atlantic.","Adventure/Outdoor","","https://www.instagram.com/aldokane","https://aldokane.com/",""
"Natalie","Keyssar","Photographer","United States","Photographer","Documentary photographer, journalist, culture, conflict, migration, collaborative portraiture, portraiture, breaking news,","On Camera Appearances; Rock Climbing; Video: 360","Climbing, fitness, yoga type gear. Film photography.","I'm a Canon Explorer of Light.","Natalie Keyssar is a documentary photographer based in Brooklyn, New York. She is interested in class inequality, youth culture, and the personal effects of political turmoil and violence, primarily in the US and Latin America. She has a BFA in Painting and Illustration from The Pratt Institute. Keyssar has contributed to publications such as The New York Times Magazine, Time, Bloomberg Business Week, and California Sunday Magazine and been awarded by organizations including the Philip Jones Griffith Award (Finalist 2017), The Aaron Siskind Foundation, PDN 30, Magenta Flash Forward, and American Photography. She has taught New Media at the International Center of Photography in New York and has instructed at various workshops across the US and Latin America with organizations such as Foundry, Women Photograph, The Pulitzer Center on Crisis Reporting, the IWMF and International Photography Festival of Puebla, Mexico. She is a Pulitzer Center Grantee, a long-term fellow with the International Women?s Media Foundation Latin America program, and the winner of the 2018 ICP Infinity Emerging Photographer Award.","Yoga, Climbing, running, dancing","Anything that supports Venezuela or Venezuelan refugees, or Ukraine","https://www.instagram.com/nataliekeyssar/?hl=en","http://nataliekeyssar.com/","Adventure; Conceptual; Culture; Documentary; Portraiture; Travel"
"Saumya","Khandelwal","Photographer","India","Influencer; Journalist; Photographer","Gender issues, environment issues, photojournalism, culture","Video","Leica, Patagonia, Swatch, Columbia","Apple","Saumya Khandelwal is an independent photojournalist based in New Delhi, India, contributing for National Geographic, The New York Times and Time magazine among others. 

Having been selected for World Press Photo's 6X6 Global Talent Program 2019, she is a Getty Images Instagram Grantee 2017 for her work ?Child Brides of Shravasti? and has worked on gender and environment issues. 

Recipient of the National Foundation of India Award 2017, Khandelwal's work has also been exhibited at Getty Images Gallery, London, Foreign Correspondents Club, Hongkong, India Habitat Centre, India etc.

Of late, she has contributed to The New York Times, National Geographic, Vanity Fair, Bloomberg Businessweek, MIT Tech Review, Spiegel Online, Daz Magazin, Nzz Am Sonntag, Rheinpfalz am Sonntag, Caravan, Scroll and IndiaSpend; and NGOs Malala Fund and Bill and Melinda Gates Foundation. 

When not wielding the lens, Khandelwal serves as a judge, mentor or speaker given the opportunity.","Traveling, Reading, Interiors, Gardening","People's Archive of Rural India","https://www.instagram.com/khandelwal_saumya/","https://www.saumyakhandelwal.com/home","Culture; Documentary; Environment; Portraiture; Travel"
"Kristen","Kish","","","Chef","","","","","Kristen Kish is a Korean-born American chef known for winning the tenth season of Top Chef. She was formerly chef de cuisine at Menton in the Fort Point neighborhood of Boston. She is the host of 36 Hours on Travel Channel and a co-host of Fast Foodies on TruTV as well as co-host of Iron Chef: Quest for an Iron Legend.","","","https://www.instagram.com/kristenlkish/","",""
